PubChem CID,ChEBI
"5382","No result"
"1983","No result"
"6579","CHEBI:28619"
"186907","CHEBI:2504"
"14888","No result"
"54670067","CHEBI:29073"
"9444","CHEBI:2038"
"2336","CHEBI:29865"
"5757","CHEBI:16469"
"5360373","No result"
"2796","CHEBI:3750"
"23978","CHEBI:28694"
"451668","CHEBI:50131"
"6597","CHEBI:36386"
"8343","CHEBI:17747"
"702","CHEBI:16236"
"5991","CHEBI:4903"
"None","No result"
"126941","No result"
"6010","CHEBI:27436"
"11688533","CHEBI:83174"
"992","CHEBI:17642"
"9554","CHEBI:35549"
"4763","CHEBI:8069"
"1775","CHEBI:8107"
"5694","CHEBI:32509"
"443495","CHEBI:29678"
"29327","CHEBI:9288"
"16723172","No result"
"2733526","No result"
"5995","CHEBI:9466"
"15625","CHEBI:28119"
"31373","CHEBI:17300"
"27924","CHEBI:37537"
"2723949","CHEBI:32497"
"6575","CHEBI:16602"
"11146","CHEBI:45956"
"31401","CHEBI:9907"
"27492","CHEBI:27292"
"6338","CHEBI:28509"
"445354","CHEBI:17336"
"14985","CHEBI:18145"
"2157","CHEBI:2663"
"6623","CHEBI:33216"
"23973","No result"
"24947","CHEBI:35456"
"446220","CHEBI:27958"
"5284373","CHEBI:4031"
"8029","CHEBI:35559"
"3467","No result"
"784","CHEBI:16240"
"3715","CHEBI:49662"
"3779","CHEBI:64317"
"3821","CHEBI:6121"
"3823","CHEBI:48339"
"24085","CHEBI:31823"
"977","CHEBI:15379"
"15939","CHEBI:34905"
"74483","No result"
"445154","CHEBI:27881"
"6326970","No result"
"25477","No result"
"24261","CHEBI:30563"
"6013","CHEBI:17347"
"2723601","CHEBI:9555"
"26042","CHEBI:32234"
"11045","CHEBI:53063"
"3121","No result"
"2520","CHEBI:77733"
"68740","CHEBI:46557"
"95170","CHEBI:81584"
"63090","CHEBI:34317"
"4685","CHEBI:28618"
"2361","CHEBI:77013"
"2818","No result"
"14410","CHEBI:82436"
"5743","No result"
"5988","CHEBI:17992"
"6781","CHEBI:34698"
"3117","CHEBI:4659"
"3224","No result"
"11","CHEBI:27789"
"3352","CHEBI:83394"
"3397","No result"
"2733487","CHEBI:38221"
"3712","CHEBI:24814"
"6137","CHEBI:16643"
"931","CHEBI:16482"
"4495","No result"
"37036","No result"
"15032","CHEBI:35591"
"73665","CHEBI:8434"
"43234","CHEBI:8489"
"657298","CHEBI:8502"
"31423","No result"
"5381226","No result"
"77999","CHEBI:50122"
"54454","CHEBI:9150"
"1548887","CHEBI:9352"
"6618","CHEBI:33217"
"54675776","No result"
"14986","No result"
"5505","CHEBI:27999"
"5284627","CHEBI:63631"
"444795","CHEBI:15367"
"39385","CHEBI:84002"
"26177","No result"
"8295","CHEBI:35037"
"5978","CHEBI:28445"
"493570","CHEBI:17015"
"35370","CHEBI:10110"
"60490","CHEBI:10112"
"5732","CHEBI:10125"
"241","CHEBI:16716"
"6626","CHEBI:34372"
"24288","CHEBI:35696"
"3026","CHEBI:34687"
"3120","CHEBI:116509"
"712","CHEBI:16842"
"23930","CHEBI:18291"
"667490","CHEBI:2208"
"1674","CHEBI:34342"
"89594","CHEBI:17688"
"3032552","CHEBI:33101"
"13089","CHEBI:34027"
"1712094","No result"
"16741","CHEBI:351346"
"4829","CHEBI:8228"
"5143","CHEBI:32111"
"23954","CHEBI:9141"
"25408","No result"
"445643","CHEBI:61049"
"5819","CHEBI:18332"
"9926791","CHEBI:71200"
"11443","CHEBI:53556"
"6366","CHEBI:34031"
"5280795","CHEBI:28940"
"23994","CHEBI:30185"
"14806","No result"
"31369","No result"
"9171","CHEBI:51687"
"969491","CHEBI:34696"
"11164","CHEBI:30966"
"5280389","CHEBI:18227"
"5564","CHEBI:164200"
"5641","CHEBI:17967"
"6339","CHEBI:51314"
"5311498","No result"
"5359268","CHEBI:28984"
"5352425","No result"
"23931","CHEBI:16170"
"32744","No result"
"5426","CHEBI:74947"
"16684434","CHEBI:9546"
"2256","CHEBI:15930"
"24636","CHEBI:35458"
"24462","CHEBI:23414"
"3023","CHEBI:23681"
"441203","No result"
"7471","No result"
"3385","No result"
"5280961","CHEBI:28088"
"3474","CHEBI:31653"
"3559","CHEBI:5613"
"3672","CHEBI:5855"
"60838","CHEBI:80630"
"9317","CHEBI:31767"
"3899","CHEBI:6402"
"3028194","CHEBI:30145"
"6279","CHEBI:6716"
"10836","CHEBI:6809"
"409301","CHEBI:28216"
"1615","CHEBI:1391"
"5288826","CHEBI:17303"
"935","CHEBI:28112"
"24823","No result"
"36314","No result"
"54676228","CHEBI:8249"
"24597","CHEBI:75249"
"24502","CHEBI:53444"
"16759173","CHEBI:8361"
"4911","CHEBI:8426"
"5994","CHEBI:17026"
"1030","CHEBI:16997"
"4946","No result"
"1048","CHEBI:17241"
"1057","CHEBI:16164"
"54900","CHEBI:50740"
"5282379","CHEBI:6067"
"6758","CHEBI:28201"
"3000322","No result"
"114835","CHEBI:9068"
"5280906","CHEBI:9107"
"68617","CHEBI:9123"
"5235","CHEBI:28741"
"24934","CHEBI:48843"
"5920","CHEBI:18258"
"24857286","No result"
"5394","CHEBI:72564"
"208901","No result"
"5359464","No result"
"5455","CHEBI:9495"
"8289","CHEBI:35033"
"107985","CHEBI:9747"
"5591","CHEBI:9753"
"62959","No result"
"10915","No result"
"5646","CHEBI:2264"
"62923","CHEBI:9944"
"936","CHEBI:17154"
"190","CHEBI:16708"
"4055","CHEBI:28869"
"444020","No result"
"54678486","CHEBI:10033"
"5717","CHEBI:10100"
"5365247","No result"
"439935","No result"
"5733","CHEBI:35859"
"39676","CHEBI:83732"
"1480","No result"
"23964","CHEBI:27998"
"23989","CHEBI:27214"
"60750","CHEBI:175901"
"7456","CHEBI:31835"
"10461","No result"
"1752","CHEBI:34440"
"21944094","No result"
"9416","CHEBI:9464"
"2153","CHEBI:28177"
"14016","No result"
"6540","CHEBI:35038"
"44566108","No result"
"60846","CHEBI:9927"
"5311497","CHEBI:480999"
"2726824","CHEBI:62878"
"6850715","No result"
"64689","CHEBI:15903"
"37248","CHEBI:34206"
"8814","CHEBI:34445"
"447912","No result"
"312145","CHEBI:52289"
"5280343","CHEBI:16243"
"6251","CHEBI:16899"
"6041","CHEBI:8093"
"297","CHEBI:16183"
"439501","CHEBI:472805"
"1119","CHEBI:18422"
"5284461","No result"
"23990","CHEBI:27698"
"280","CHEBI:16526"
"681","CHEBI:18243"
"7550","No result"
"7871","CHEBI:75701"
"7305","CHEBI:9195"
"1103","CHEBI:15746"
"1140","CHEBI:17578"
"24933","No result"
"8969","CHEBI:10093"
"123591","No result"
"46907787","No result"
"5311501","CHEBI:73295"
"1530","CHEBI:76290"
"7794","No result"
"14829","No result"
"220401","CHEBI:4393"
"6113","CHEBI:23994"
"9154","No result"
"4156","CHEBI:25255"
"20393","CHEBI:17243"
"9395","CHEBI:27827"
"10222","No result"
"5350","No result"
"5610","CHEBI:15760"
"9723","No result"
"5216","CHEBI:27496"
"7290","CHEBI:18721"
"213027","No result"
"8575","No result"
"24268","CHEBI:63005"
"426379","No result"
"39484","CHEBI:641"
"1242","No result"
"1130","CHEBI:18385"
"1188","CHEBI:17712"
"5284469","No result"
"23986041","No result"
"6918638","CHEBI:61076"
"5371560","CHEBI:38658"
"5154","CHEBI:17183"
