yourlist:M201810218A530B6CA0138AFAA6D2B97CE8C2A92400D147R	Entry
1	P04217
1	V9HWD8
2	P01023
131076	C9JQ41
131076	Q4VC31
9	F5H5R8
9	P18440
9	Q400J6
10	A4Z6T7
10	P11245
12	A0A024R6P0
12	P01011
13	P22760
14	A0A024R410
14	C9JEH3
14	Q13685
15	F1T0I5
15	Q16613
16	P49588
729447	Q6NT46
18	P80404
18	X5D8S1
19	B2RUU2
19	B7XCW9
19	O95477
20	Q9BZC7
21	Q4LE27
21	Q99758
22	A0A087WW65
22	A0A0S2Z2Z3
22	O75027
23	A0A1U9X609
23	Q2L6I2
23	Q8NE71
131096	Q96L42
25	A0A024R8E2
25	P00519
25	Q59FK4
26	P19801
27	P42684
28	A0A089QDC1
28	P16442
24	P78363
24	Q6AI28
30	A0A024R2M6
30	A0A140VJX0
30	P09110
31	A0A024R0Y2
31	B2ZZ90
31	Q13085
31	Q7Z5W8
32	O00763
33	P28330
34	A0A0S2Z366
34	B4DJE7
34	B7Z9I1
34	P11310
34	Q5HYG7
34	Q5T4U5
35	B4DUH1
35	E5KSD5
35	E9PE82
35	P16219
36	A0A0S2Z3P9
36	P45954
37	B3KPA6
37	P49748
38	A0A140VJX1
38	P24752
39	Q9BWD1
40	Q16515
41	A8K1U5
41	P78348
43	P22303
131118	A0A0S2Z5X1
131118	Q96DA6
47	A0A024R1T9
47	A0A024R1Y2
47	P53396
47	Q4LE36
48	P21399
48	Q9HBB2
48	V9HWB7
49	P10323
50	Q99798
51	Q15067
52	A0A140VK37
52	P24666
52	Q59EH3
53	B7Z4Z2
53	B7Z552
53	B7Z6L8
53	B7Z6T8
53	B7Z7D2
53	B7Z8T9
53	E9PHY0
53	E9PQY3
53	P11117
54	A0A024R7F8
54	P13686
55	P15309
56	P26436
58	P68133
59	D2JYH4
59	P62736
60	P60709
60	Q1KLZ0
70	B3KPP5
70	P68032
71	P63261
72	P63267
131149	A6NHN0
81	A0A0S2Z3G9
81	O43707
86	O96019
87	A0A024R694
87	P12814
88	F6THM6
88	P35609
88	Q59FD9
89	A0A087WSZ2
89	B4DZQ2
89	Q08043
90	D3DPA4
90	Q04771
91	P36896
92	P27037
93	Q13705
94	A0A0S2Z310
94	P37023
95	Q03154
95	V9HWA0
97	G3V2U7
97	P07311
98	A0A140VJD7
98	P14621
98	U3KQL2
